State,Percentile,Confirmed Deaths by 2020/08/22,Confirmed Deaths by 2020/08/29,Confirmed Deaths by 2020/09/05,Confirmed Deaths by 2020/09/12,Confirmed Deaths by 2020/09/19,Confirmed Deaths by 2020/09/26,Confirmed Deaths by 2020/10/03,Confirmed Deaths by 2020/10/10
Arizona,5,4611,4790,4930,5072,5193,5303,5399,5489
,25,4762,5032,5290,5525,5730,5939,6127,6302
,50,4856,5181,5478,5774,6048,6326,6606,6904
,75,4924,5329,5712,6088,6467,6871,7295,7764
,95,5113,5831,6366,6882,7398,7915,8450,8942
California,5,11597,12080,12509,12890,13253,13558,13836,14090
,25,11796,12492,13175,13800,14401,14957,15517,16036
,50,11928,12757,13611,14411,15202,15983,16755,17518
,75,12099,13094,14126,15104,16118,17100,18117,19174
,95,12431,13678,14964,16290,17644,19070,20542,22025
Florida,5,10094,10762,11316,11790,12185,12534,12788,13014
,25,10283,11202,11874,12821,13501,14120,14622,15084
,50,10500,11631,12709,13726,14725,15787,16941,18007
,75,10631,11889,13203,14483,15868,17337,19105,20899
,95,11043,12528,14045,15584,17355,19337,21469,23636
Georgia,5,4901,5179,5426,5646,5818,5966,6081,6183
,25,5226,5631,6017,6376,6714,7044,7375,7702
,50,5413,5889,6365,6814,7260,7707,8174,8646
,75,5402,5964,6548,7122,7712,8315,8945,9582
,95,5399,6116,6876,7670,8550,9478,10444,11430
Illinois,5,7980,8064,8125,8181,8232,8279,8324,8366
,25,8058,8171,8279,8382,8488,8591,8689,8787
,50,8087,8225,8368,8507,8645,8780,8911,9043
,75,8137,8323,8522,8727,8942,9161,9383,9616
,95,8224,8499,8798,9121,9474,9851,10261,10712
Louisana,5,4561,4679,4776,4860,4926,4985,5031,5074
,25,4629,4800,4952,5092,5219,5339,5448,5553
,50,4675,4879,5069,5247,5414,5574,5726,5872
,75,4743,5015,5267,5511,5756,6001,6253,6511
,95,4851,5223,5572,5925,6302,6704,7147,7631
Massachusettes,5,8847,8885,8916,8942,8964,8985,9004,9022
,25,8893,8968,9038,9104,9166,9225,9282,9339
,50,8925,9025,9122,9216,9305,9390,9474,9555
,75,8965,9108,9264,9422,9576,9733,9895,10064
,95,9023,9230,9473,9732,9993,10271,10572,10905
New York,5,32841,32864,32885,32902,32912,32921,32928,32934
,25,32868,32909,32947,32983,33014,33044,33073,33101
,50,32886,32940,32991,33038,33084,33129,33172,33214
,75,32948,33055,33156,33251,33342,33430,33519,33610
,95,33034,33214,33386,33551,33710,33869,34034,34210
Ohio,5,3869,3943,4010,4071,4126,4176,4221,4263
,25,3923,4038,4150,4257,4361,4461,4557,4652
,50,3958,4101,4242,4380,4516,4650,4782,4912
,75,4015,4212,4411,4615,4826,5044,5272,5508
,95,4105,4391,4691,5011,5360,5743,6164,6625
Oregon,5,399,417,433,449,462,475,487,497
,25,414,443,471,498,523,548,572,595
,50,424,460,495,530,564,597,629,661
,75,430,472,515,557,600,645,690,736
,95,440,491,544,599,656,718,784,854
Pennsylvania,5,7458,7500,7534,7561,7583,7602,7619,7634
,25,7500,7578,7650,7726,7779,7839,7897,7954
,50,7530,7633,7732,7844,7918,8006,8091,8178
,75,7564,7704,7843,7994,8126,8271,8420,8583
,95,7613,7806,8007,8221,8447,8689,8953,9253
Texas,5,10973,11843,12630,13330,13947,14482,14941,15332
,25,11403,12654,13861,15004,16070,17046,17926,18709
,50,11706,13226,14728,16182,17562,18847,20020,21079
,75,12050,13889,15798,17751,19718,21669,23575,25413
,95,12528,14805,17267,19893,22641,25465,28313,31143
