State,Percentile,Confirmed Deaths by 2020/08/29,Confirmed Deaths by 2020/09/05,Confirmed Deaths by 2020/09/12,Confirmed Deaths by 2020/09/19,Confirmed Deaths by 2020/09/26,Confirmed Deaths by 2020/10/03,Confirmed Deaths by 2020/10/10,Confirmed Deaths by 2020/10/17
Arizona,5,4899,5066,5233,5370,5501,5625,5745,5863
,25,4980,5210,5439,5635,5820,5996,6164,6328
,50,5044,5324,5601,5843,6071,6288,6494,6693
,75,5119,5459,5796,6095,6379,6651,6912,7164
,95,5215,5631,6044,6415,6772,7114,7443,7763
California,5,12476,12951,13359,13707,14005,14260,14473,14651
,25,12736,13406,14021,14584,15099,15572,16006,16408
,50,12941,13764,14542,15273,15958,16602,17210,17789
,75,13196,14217,15206,16160,17079,17960,18815,19665
,95,13521,14793,16050,17288,18506,19688,20857,22052
Florida,5,10931,11499,11964,12339,12637,12876,13069,13218
,25,11207,11977,12647,13223,13716,14138,14502,14816
,50,11423,12353,13184,13918,14563,15129,15628,16072
,75,11662,12752,13742,14638,15437,16156,16817,17441
,95,11967,13259,14452,15555,16549,17463,18331,19183
Georgia,5,5196,5408,5607,5731,5965,6130,6289,6442
,25,5302,5596,5873,6108,6382,6619,6846,7064
,50,5386,5743,6082,6404,6710,7003,7283,7553
,75,5500,5947,6370,6773,7159,7530,7885,8233
,95,5645,6207,6736,7243,7730,8200,8652,9098
Illinois,5,8090,8125,8160,8195,8230,8265,8300,8335
,25,8175,8277,8378,8480,8582,8683,8785,8887
,50,8242,8396,8550,8704,8858,9012,9166,9320
,75,8353,8621,8898,9185,9481,9786,10100,10423
,95,8495,8908,9342,9797,10273,10770,11288,11827
Louisana,5,4798,4918,5035,5146,5255,5363,5468,5573
,25,4863,5028,5187,5337,5481,5621,5756,5889
,50,4914,5115,5306,5487,5659,5824,5983,6137
,75,4982,5231,5467,5689,5898,6097,6291,6481
,95,5069,5379,5673,5945,6202,6445,6683,6918
Massachusettes,5,8942,8984,9026,9068,9110,9152,9194,9236
,25,8990,9067,9149,9234,9323,9416,9513,9613
,50,9028,9133,9245,9364,9490,9623,9763,9910
,75,9114,9278,9454,9644,9847,10063,10293,10526
,95,9224,9462,9721,10001,10302,10624,10967,11310
New York,5,32897,32918,32939,32960,32981,33002,33023,33044
,25,32927,32971,33020,33072,33128,33188,33253,33321
,50,32950,33013,33083,33160,33244,33335,33433,33538
,75,32990,33093,33209,33339,33481,33634,33800,33982
,95,33041,33195,33370,33566,33783,34014,34266,34546
Ohio,5,4004,4068,4128,4185,4238,4288,4332,4372
,25,4078,4194,4306,4415,4521,4625,4725,4824
,50,4136,4293,4446,4596,4743,4889,5033,5179
,75,4210,4422,4634,4846,5056,5270,5488,5718
,95,4304,4587,4874,5164,5454,5756,6068,6403
Oregon,5,429,446,462,476,488,497,505,511
,25,436,461,482,501,517,531,543,555
,50,442,471,496,518,537,554,570,586
,75,448,487,521,551,580,611,644,682
,95,458,510,556,598,642,692,751,821
Pennsylvania,5,7613,7683,7746,7793,7829,7855,7875,7890
,25,7641,7725,7800,7864,7925,7983,8045,8114
,50,7661,7754,7838,7914,7991,8071,8163,8269
,75,7725,7852,7982,8112,8253,8404,8573,8761
,95,7817,7992,8188,8398,8629,8883,9163,9470
Texas,5,12409,13109,13620,13993,14265,14475,14636,14761
,25,12678,13667,14473,15134,15676,16194,16777,17449
,50,12865,14055,15067,15926,16657,17388,18265,19317
,75,13490,15053,16468,17834,19167,20635,22449,24690
,95,14389,16489,18484,20579,22778,25308,28469,32422
