\,Percentile,Confirmed Deaths by 2020/09/12,Confirmed Deaths by 2020/09/19,Confirmed Deaths by 2020/09/26,Confirmed Deaths by 2020/10/03,Confirmed Deaths by 2020/10/10,Confirmed Deaths by 2020/10/17,Confirmed Deaths by 2020/10/24,Confirmed Deaths by 2020/10/31,Notes
California,5,14232,14694,15048,15327,15547,15723,15863,15975,
,25,14372,14991,15532,16016,16454,16856,17228,17574,
,50,14470,15197,15867,16492,17080,17639,18172,18680,
,75,14715,15632,16542,17463,18404,19356,20320,21298,
,95,15069,16260,17515,18865,20314,21833,23421,25077,
Florida,5,12175,12584,12960,13255,13490,13678,13831,13955,
,25,12298,12813,13296,13738,14154,14561,14967,15371,
,50,12384,12972,13529,14073,14614,15172,15751,16346,
,75,12609,13390,14151,14929,15741,16611,17527,18481,
,95,12935,13993,15048,16163,17368,18687,20089,21561,
Georgia,5,6258,6535,6761,6949,7110,7247,7365,7465,
,25,6389,6775,7129,7469,7798,8116,8425,8724,
,50,6479,6940,7382,7826,8271,8713,9152,9585,
,75,6545,7076,7594,8141,8710,9302,9908,10528,
,95,6640,7270,7898,8590,9335,10135,10974,11849,
Illinois,5,8426,8512,8591,8663,8727,8783,8834,8880,
,25,8474,8586,8698,8812,8922,9033,9145,9259,
,50,8510,8645,8779,8915,9057,9205,9360,9522,
,75,8585,8768,8949,9138,9339,9553,9782,10028,
,95,8694,8944,9195,9460,9744,10054,10391,10759,
New York,5,32999,33023,33043,33062,33079,33095,33108,33121,
,25,33017,33054,33084,33112,33139,33164,33188,33211,
,50,33034,33075,33112,33147,33180,33212,33243,33274,
,75,33089,33168,33238,33307,33380,33460,33547,33644,
,95,33168,33303,33421,33538,33669,33817,33984,34175,
Ohio,5,4321,4388,4453,4513,4568,4619,4665,4708,
,25,4358,4459,4559,4657,4753,4848,4942,5034,
,50,4388,4513,4640,4768,4898,5028,5160,5292,
,75,4455,4614,4777,4947,5122,5304,5494,5691,
,95,4538,4740,4950,5172,5406,5654,5916,6194,
Pennsylvania,5,7786,7832,7873,7910,7942,7968,7990,8009,
,25,7831,7908,7982,8056,8128,8199,8270,8340,
,50,7865,7965,8065,8167,8271,8378,8487,8599,
,75,7889,8016,8138,8274,8419,8574,8742,8924,
,95,7918,8076,8242,8424,8625,8848,9096,9371,
Texas,5,14040,14638,15144,15570,15930,16234,16490,16706,
,25,14268,15012,15669,16252,16775,17251,17699,18126,
,50,14426,15271,16033,16723,17360,17955,18537,19110,
,75,14561,15549,16473,17374,18275,19198,20162,21175,
,95,14755,15947,17102,18305,19583,20972,22479,24116,
